username,email,password,password2,fake
DonaldTriumph,donaldTriumph@example.com,cat,cat,0
CMM,cmm@example.com,cat,cat,1
Eljezaare,eljezaare@example.com,cat,cat,0
FoksNieuws,foks@example.com,cat,cat,1
NWhyTimes,nwhy@example.com,cat,cat,0
PCMocht,pcmocht@example.com,cat,cat,1
CMDB,cmdb@example.com,cat,cat,0
BreidBart,breid@example.com,cat,cat,0
Hyhaa,hyhaa@example.com,cat,cat,1
TeqCrunch,teq@example.com,cat,cat,0
ManhattanPost,manhattan@example.com,cat,cat,1
Reuzers,reuzers@example.com,cat,cat,0
TheMonthlyTimes,themonthlytimes@example.com,cat,cat,1
Politica,politica@example.com,cat,cat,0
Watchman,watchman@example.com,cat,cat,1
